OID_,PEAT_DEPTH,POINT_X,POINT_Y,LCM2007,SLOPE,ELEVATION,MEAN_AN_RF,rfi,ETR,growseason,consdryday,10mm_raind,PEATTYPE
,0.000000000000000,"263,495.000000000000000","75,725.000000000000000",8,9.163579940800000,345.091003418000010,"2,081.750000000000000",10.3457003,33.061100006099998,277.6199951,15.8327999,64.9067001,Upland blanket bog peat
,14.000000000000000,"263,498.000000000000000","75,688.000000000000000",8,6.928279876710000,346.819000243999990,"2,081.750000000000000",10.3457003,33.061100006099998,277.6199951,15.8327999,64.9067001,Upland blanket bog peat
,15.000000000000000,"263,518.000000000000000","75,709.000000000000000",8,7.125130176540000,348.510009766000000,"2,081.750000000000000",10.3457003,33.061100006099998,277.6199951,15.8327999,64.9067001,Upland blanket bog peat
,0.000000000000000,"263,591.000000000000000","75,662.000000000000000",8,3.114989995960000,355.805999756000010,"2,081.750000000000000",10.3457003,33.061100006099998,277.6199951,15.8327999,64.9067001,Upland blanket bog peat
,20.000000000000000,"263,556.000000000000000","75,667.000000000000000",8,4.432869911190000,353.024993896000010,"2,081.750000000000000",10.3457003,33.061100006099998,277.6199951,15.8327999,64.9067001,Upland blanket bog peat
,0.000000000000000,"263,560.000000000000000","75,692.000000000000000",8,4.646080017090000,353.527008056999990,"2,081.750000000000000",10.3457003,33.061100006099998,277.6199951,15.8327999,64.9067001,Upland blanket bog peat
,18.000000000000000,"263,440.000000000000000","75,627.000000000000000",8,8.533349990840000,341.717987060999970,"2,081.750000000000000",10.3457003,33.061100006099998,277.6199951,15.8327999,64.9067001,Upland blanket bog peat
,0.000000000000000,"263,693.000000000000000","75,560.000000000000000",8,1.389790058140000,357.651000977000020,"2,051.850097659999800",10.3908005,33.008300781300001,279.6260071,15.9392996,64.5262985,Upland blanket bog peat
,0.000000000000000,"263,664.000000000000000","75,607.000000000000000",8,1.212990045550000,358.632995605000020,"2,051.850097659999800",10.3908005,33.008300781300001,279.6260071,15.9392996,64.5262985,Upland blanket bog peat
,10.000000000000000,"263,645.000000000000000","75,549.000000000000000",8,2.608580112460000,356.891998290999990,"2,051.850097659999800",10.3879004,33.007301330600001,277.9689941,15.8514004,64.9957962,Upland blanket bog peat
,20.000000000000000,"263,650.000000000000000","75,519.000000000000000",8,2.230190038680000,356.401000977000020,"2,051.850097659999800",10.3879004,33.007301330600001,277.9689941,15.8514004,64.9957962,Upland blanket bog peat
,0.000000000000000,"263,660.000000000000000","75,525.000000000000000",8,1.944470047950000,356.792999268000020,"2,051.850097659999800",10.3908005,33.008300781300001,279.6260071,15.9392996,64.5262985,Upland blanket bog peat
,18.000000000000000,"263,448.000000000000000","75,430.000000000000000",8,6.596610069270000,341.894989013999980,"2,077.449951170000100",10.3879004,33.007301330600001,277.9689941,15.8514004,64.9957962,Upland blanket bog peat
,22.000000000000000,"263,458.000000000000000","75,365.000000000000000",8,4.138589859010000,342.234985352000020,"2,075.110107420000100",10.4406004,32.979099273700001,279.6919861,15.8703003,65.1438980,Upland blanket bog peat
,0.000000000000000,"263,791.000000000000000","75,352.000000000000000",8,4.838560104370000,347.658996581999990,"2,049.469970700000000",10.4356003,32.968200683600003,280.0480042,15.9598999,64.6509018,Upland blanket bog peat
,0.000000000000000,"263,768.000000000000000","75,435.000000000000000",8,1.919810056690000,352.471984862999990,"2,051.850097659999800",10.3908005,33.008300781300001,279.6260071,15.9392996,64.5262985,Upland blanket bog peat
,0.000000000000000,"263,522.000000000000000","75,321.000000000000000",8,1.832909941670000,343.417999268000020,"2,075.110107420000100",10.4406004,32.979099273700001,279.6919861,15.8703003,65.1438980,Upland blanket bog peat
,0.000000000000000,"263,586.000000000000000","75,257.000000000000000",8,2.157850027080000,344.622009277000020,"2,075.110107420000100",10.4406004,32.979099273700001,279.6919861,15.8703003,65.1438980,Upland blanket bog peat
,20.000000000000000,"263,660.000000000000000","75,322.000000000000000",8,2.293260097500000,345.536010741999970,"2,049.469970700000000",10.4356003,32.968200683600003,280.0480042,15.9598999,64.6509018,Upland blanket bog peat
,0.000000000000000,"263,775.000000000000000","75,338.000000000000000",8,6.217949867250000,345.558013915999990,"2,049.469970700000000",10.4356003,32.968200683600003,280.0480042,15.9598999,64.6509018,Upland blanket bog peat
,0.000000000000000,"263,836.000000000000000","75,284.000000000000000",8,3.780270099640000,341.808013915999990,"2,049.469970700000000",10.4356003,32.968200683600003,280.0480042,15.9598999,64.6509018,Upland blanket bog peat
,10.000000000000000,"263,233.000000000000000","75,162.000000000000000",8,12.737400054900000,321.796997069999970,"2,082.719970700000000",10.4379997,32.969898223900003,278.1040039,15.8543997,65.3080978,Upland blanket bog peat
,12.000000000000000,"263,483.000000000000000","75,203.000000000000000",8,3.549020051960000,339.075988769999980,"2,075.110107420000100",10.4406004,32.979099273700001,279.6919861,15.8703003,65.1438980,Upland blanket bog peat
,28.000000000000000,"263,523.000000000000000","75,186.000000000000000",8,3.051259994510000,340.867004394999980,"2,075.110107420000100",10.4406004,32.979099273700001,279.6919861,15.8703003,65.1438980,Upland blanket bog peat
,0.000000000000000,"263,462.000000000000000","75,194.000000000000000",8,2.216130018230000,337.981994628999980,"2,075.110107420000100",10.4406004,32.979099273700001,279.6919861,15.8703003,65.1438980,Upland blanket bog peat
,0.000000000000000,"263,791.000000000000000","75,206.000000000000000",8,2.946630001070000,344.507995605000020,"2,049.469970700000000",10.4356003,32.968200683600003,280.0480042,15.9598999,64.6509018,Upland blanket bog peat
